,Uniswap 100x Leverage,Uniswap 1x Leverage,Stableswap Invariant: 1x amplification,A <--> Y,A <--> B
59,0.108307171375079,0.5804158355916315,0.7182883385899721,0.8342247344998367,0.9189923369742572
60,0.10606810920597448,0.5763228301183143,0.7136383811496358,0.8318963116469044,0.9176572059594292
61,0.10389963768229638,0.572287119292509,0.7090078011725929,0.829580984697107,0.9163223170172786
62,0.10179874780527512,0.5683095557498072,0.7043996868977811,0.8272786371875489,0.9149876188103064
63,0.09976257698304807,0.5643848409507448,0.6998126601416558,0.8249891541116009,0.9136530597144578
64,0.09778843196526549,0.5605159097309581,0.6952485993001737,0.8227124218950498,0.9123185877993846
65,0.09587374596830246,0.5566976813499753,0.6907092081011341,0.8204483283727734,0.9109841508081867
66,0.0940161018518268,0.5529329972992074,0.6861932473762471,0.8181967627658926,0.909649696136725
67,0.09221319198217558,0.5492169864319255,0.6817023942158768,0.8159576156593632,0.9083151708123525
68,0.09046284146444794,0.545552397057162,0.6772381613610099,0.8137307789800297,0.9069805214721532
69,0.08876297043220575,0.5419345596603155,0.6727994230290866,0.8115161459751149,0.9056456943405686
70,0.08711161719163468,0.53836612990503,0.6683876594984974,0.8093136111911549,0.9043106352064219
71,0.08550690267515715,0.5348443553662275,0.6640034302116979,0.8071230704533235,0.9029752893992707
72,0.08394705338777547,0.5313666303892773,0.6596480044294527,0.8049444208451937,0.9016396017651407
73,0.08243036780223088,0.5279354905145625,0.6553203703143637,0.8027775606888753,0.9003035166414328
74,0.08095523571200669,0.5245483504002625,0.6510217606010619,0.8006223895255649,0.8989669778311592
75,0.07952012293806082,0.5212027644620598,0.6467526092492437,0.7984788080964574,0.8976299285763241
76,0.07812355733592216,0.517901148990562,0.6425133194524777,0.7963467183240387,0.8962923115304444
77,0.07676414762158523,0.5146410754391155,0.6383042640480822,0.7942260232937443,0.8949540687301931
78,0.07544055371833748,0.5114217653490182,0.6341257859983684,0.7921166272359464,0.893615141566081
79,0.07415150860497315,0.5082424595815609,0.6299781989360405,0.7900184355083458,0.8922754707521197
80,0.07289579005214862,0.5051024177223084,0.6258617877667576,0.7879313545786206,0.8909349962944285
81,0.07167224202850825,0.5020009175073055,0.6217768093221193,0.7858552920074804,0.8895936574587188
82,0.07047974771205938,0.4989358297439079,0.6177234930565833,0.7837901564319987,0.888251392736584
83,0.06931724759464741,0.4959093383934613,0.6137020417821567,0.7817358575492749,0.8869081398105291
84,0.06818372786983767,0.4929193251068578,0.6097126324349722,0.7796923061004092,0.8855638355176783
85,0.06707820975467672,0.48996513488952054,0.605755416868241,0.777659413854756,0.8842184158120702
86,0.06599976689549242,0.48704612832613847,0.6018305226663552,0.7756370935945112,0.8828718157254501
87,0.06494750104185548,0.484161681120206,0.5979380539753103,0.7736252590995487,0.8815239693265093
88,0.0639205619066918,0.48131118364981185,0.5940780923449027,0.771623825132564,0.8801748096784436
89,0.06291812381583932,0.4784953130420695,0.5902506975785502,0.769632707424472,0.8788242687947259
90,0.06193940254140065,0.4757109220903624,0.586455908586881,0.7676518226600975,0.8774722775930203
91,0.06098364556808704,0.472958736109052,0.582693744241573,0.7656810884641194,0.876118765847104
92,0.06005012311009914,0.47023820003419825,0.5789638404952392,0.7637204233872392,0.8747636621366712
93,0.05913814423981308,0.46754877147660673,0.5752669187812592,0.7617697468926744,0.8734068937948889
94,0.05824703560214341,0.46488992036213955,0.5716025660960949,0.7598289793428219,0.8720483868535944
95,0.057376159691946274,0.462261128584206,0.5679707296092622,0.7578980419862089,0.8706880659859249
96,0.05652489434375522,0.4596618896679589,0.5643713406225902,0.7559768569446664,0.8693258544462522
97,0.0556926482537916,0.45709283434755543,0.560804315368648,0.7540653472007262,0.8679616740074059
98,0.05487885263049014,0.454551207902893,0.5572695557929931,0.7521634365852486,0.8665954448945346
99,0.05408295346290265,0.4520376817542964,0.5537669503188997,0.7502710497652874,0.865227085716004
